"measuredItemCPC","description","feedClassification"
"02952.01","Horse hides, fresh","not for feed"
"02952.02","Hides of asses, fresh","not for feed"
"02952.03","Hides of mules, fresh","not for feed"
"02952.04","Hides, Wet-Salted (Horses)","not for feed"
"02952.05","Hides, Dry-Salted (Horses)","not for feed"
"02952.90","Hides n.e., Horses","not for feed"
"02953.01","Raw hides and skins of sheep or lambs, with wool on","not for feed"
"02953.02","Raw hides and skins of sheep or lambs, without wool on","not for feed"
"02953.03","Skins, Wet-Salted (Sheep)","not for feed"
"02953.04","Skins, Dry-Salted (Sheep)","not for feed"
"02953.05","Skins nes, Sheep","not for feed"
"02954.01","Skins, Wet-Salted (Goats)","not for feed"
"02954.02","Skins, Dry-Salted (Goats)","not for feed"
"02954.90","Skins n.e., Goats","not for feed"
"02955.01","Karakul skins","not for feed"
"02955.02","Rabbit skins","not for feed"
"02955.90","Other raw furskins n.e.","not for feed"
"02959.01","Raw skins of swine","not for feed"
"02959.02","Raw skins of camels","not for feed"
"02959.03","Skins, Wet-Salted (Pigs)","not for feed"
"02959.04","Skins, Dry-Salted (Pigs)","not for feed"
"02959.05","Skins n.e., Pigs","not for feed"
"02959.06","Hides, Wet-Salted (Camels)","not for feed"
"02959.07","Hides, Dry-Salted (Camels)","not for feed"
"02959.08","Hides n.e., Camels","not for feed"
"02959.20","Other hides, wet-salted n.e.","not for feed"
"02959.30","Other hides, dry-salted n.e.","not for feed"
"02959.40","Hides n.e.","not for feed"
"02959.90","Other raw hides and skins n.e.","not for feed"
"02960","Insect waxes and spermaceti, whether or not refined or coloured","not for feed"
"02960.01","Beeswax","not for feed"
"02960.02","Spermaceti","not for feed"
"031","Wood in the rough","not for feed"
"032","Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms","not for feed"
"0311","Logs of coniferous wood","not for feed"
"0312","Logs of non-coniferous wood","not for feed"
"0313","Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms","not for feed"
"03110","Logs of coniferous wood","not for feed"
"03120","Logs of non-coniferous wood","not for feed"
"03130","Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms","not for feed"
"03131","Fuel wood of coniferous wood","not for feed"
"03132","Fuel wood of non-coniferous wood","not for feed"
"0321","Natural gums and resins, gums-resins and oleoresins","not for feed"
"0322","Natural cork, raw or simply prepared","not for feed"
"0323","Wild edible products","not for feed"
"0324","Parts of plants, without flowers or flower buds, and grasses, mosses and lichens, suitable for ornamental purposes","not for feed"
"0325","Vegetable materials of a kind used primarily for plaiting or as stuffing or padding; raw vegetable materials of a kind used primarily for dyeing or tanning; vegetable products n.e.","not for feed"
"03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","not for feed"
"03219","Lac, resins, balsams, natural gums and other resins n.e.","not for feed"
"03219.01","Arabic gum","not for feed"
"03219.90","Other lac, resins, balsams, natural gums and other resins n.e.","not for feed"
"03220","Natural cork, raw or simply prepared","not for feed"
"03230","Wild edible products","not for feed"
"03231","Kola nuts","not for feed"
"03239","Other wild edible products","not for feed"
"03241","Christmas trees","not for feed"
"03249","Other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, suitable for ornamental purposes","not for feed"
"03250","Vegetable materials of a kind used primarily for plaiting or as stuffing or padding; raw vegetable materials of a kind used primarily for dyeing or tanning; vegetable products n.e.","not for feed"
"041","Fishes, live, fresh or chilled","not for feed"
"042","Crustaceans, not frozen; oysters; other molluscs and aquatic invertebrates, live, fresh or chilled","not for feed"
"043","Crustaceans, live, fresh or chilled","not for feed"
"044","Molluscs live, fresh or chilled","not for feed"
"045","Other aquatic invertebrates, live, fresh or chilled","not for feed"
"049","Other aquatic plants and animals","not for feed"
"0411","Fish, live","not for feed"
"0412","Fish, fresh or chilled","not for feed"
"0419","Other live fish, not for human consumption, including seeds and feeds for aquaculture","not for feed"
"04111","Ornamental fish","not for feed"
"04112","Farmed ornamental fish","not for feed"
"04119","Other live fish","not for feed"
"04120","Fish, fresh or chilled","not for feed"
"04191","Other wild live fish, not for human consumption, including seeds and feeds for aquaculture","not for feed"
"04192","Other farmed live fish, not for human consumption, including seeds and feeds for aquaculture","not for feed"
"0421","Crustaceans, not frozen","not for feed"
"0422","Oysters","not for feed"
"0423","Flatfish, live, fresh or chilled","not for feed"
"0424","Fish of Gadiformes, live, fresh or chilled","not for feed"
"0425","Tunas, skipjack or stripe-bellied bonito, live, fresh or chilled","not for feed"
"0429","Other molluscs and aquatic invertebrates, live, fresh or chilled","not for feed"
"04210","Crustaceans, not frozen","not for feed"
"04211","Wild freshwater fish, live, fresh or chilled","not for feed"
"04212","Farmed freshwater fish, live, fresh or chilled","not for feed"
"04220","Oysters","not for feed"
"04221","Wild salmonidae, live, fresh or chilled","not for feed"
"04222","Farmed salmonidae, live, fresh or chilled","not for feed"
"04231","Wild flatfish, live, fresh or chilled","not for feed"
"04232","Farmed flatfish, live, fresh or chilled","not for feed"
"04241","Wild fish of Gadiformes, live, fresh or chilled","not for feed"
"04242","Farmed fish of Gadiformes, live, fresh or chilled","not for feed"
"04251","Wild tunas, skipjack or stripe-bellied bonito, live, fresh or chilled","not for feed"
"04252","Farmed tunas, skipjack or stripe-bellied bonito, live, fresh or chilled","not for feed"
"04291","Other molluscs, live, fresh or chilled","not for feed"
"04292","Other farmed fish, live, fresh or chilled","not for feed"
"04299","Other aquatic invertebrates, live, fresh or chilled","not for feed"
"0431","Crabs, live, fresh or chilled","not for feed"
"0432","Rock lobster and other sea crawfish, live, fresh or chilled","not for feed"
"0433","Lobsters (<i>Homarus spp.</i>), live, fresh or chilled","not for feed"
"0434","Norway lobsters, live, fresh or chilled","not for feed"
"0435","Cold-water shrimps and prawns (<i>Pandalus spp.</i>, <i>Crangon crangon</i>), live, fresh or chilled","not for feed"
"0436","Other shrimps and prawns, live, fresh or chilled","not for feed"
"0439","Other crustaceans, live, fresh or chilled","not for feed"
"04311","Wild crabs, live, fresh or chilled","not for feed"
"04312","Farmed crabs, live, fresh or chilled","not for feed"
"04322","Farmed rock lobster and other sea crawfish, live, fresh or chilled","not for feed"
"04331","Wild lobsters (<i>Homarus spp.</i>), live, fresh or chilled","not for feed"
"04332","Farmed lobsters (<i>Homarus spp.</i>), live, fresh or chilled","not for feed"
"04341","Wild Norway lobsters, live, fresh or chilled","not for feed"
"04342","Farmed Norway lobsters, live, fresh or chilled","not for feed"
"04351","Wild cold-water shrimps and prawns (<i>Pandalus spp.</i>, <i>Crangon crangon</i>), live, fresh or chilled","not for feed"
"04352","Farmed cold-water shrimps and prawns (<i>Pandalus spp.</i>, <i>Crangon crangon</i>), live, fresh or chilled","not for feed"
"04361","Other wild shrimps and prawns, live, fresh or chilled","not for feed"
"04362","Other farmed shrimps and prawns, live, fresh or chilled","not for feed"
"04391","Other wild crustaceans, live, fresh or chilled","not for feed"
"04392","Other farmed crustaceans, live, fresh or chilled","not for feed"
"0441","Abalone, live, fresh or chilled","not for feed"
"0442","Oysters, live, fresh or chilled","not for feed"
"0443","Mussels, live, fresh or chilled","not for feed"
"0444","Scallops, live, fresh or chilled","not for feed"
"0445","Clams, cockles and ark shells, live, fresh or chilled","not for feed"
"0446","Cuttle fish and squid, live, fresh or chilled","not for feed"
"0447","Octopus, live, fresh or chilled","not for feed"
"0449","Other molluscs, live, fresh or chilled","not for feed"
"04411","Wild abalone, live, fresh or chilled","not for feed"
"04412","Farmed abalone, live, fresh or chilled","not for feed"
"04421","Wild oysters, live, fresh or chilled","not for feed"
"04422","Farmed oysters, live, fresh or chilled","not for feed"
"04431","Wild mussels, live, fresh or chilled","not for feed"
"04432","Farmed mussels, live, fresh or chilled","not for feed"
"04441","Wild scallops, live, fresh or chilled","not for feed"
"04442","Farmed scallops, live, fresh or chilled","not for feed"
"04451","Wild clams, cockles and ark shells, live, fresh or chilled","not for feed"
"04452","Farmed clams, cockles and ark shells, live, fresh or chilled","not for feed"
"04461","Wild cuttle fish and squid, live, fresh or chilled","not for feed"
"04462","Farmed cuttle fish and squid, live, fresh or chilled","not for feed"
"04471","Wild octopus, live, fresh or chilled","not for feed"
"04472","Farmed octopus, live, fresh or chilled","not for feed"
"04491","Other wild molluscs, live, fresh or chilled","not for feed"
"04492","Other farmed molluscs, live, fresh or chilled","not for feed"
"0451","Sea cucumbers, live, fresh or chilled","not for feed"
"0452","Sea urchins, live, fresh or chilled","not for feed"
"0453","Jellyfish, live, fresh or chilled","not for feed"
"0459","Other aquatic invertebrates, live, fresh or chilled, n.e.c.","not for feed"
"04511","Wild sea cucumbers, live, fresh or chilled","not for feed"
"04512","Farmed sea cucumbers, live, fresh or chilled","not for feed"
"04521","Wild sea urchins, live, fresh or chilled","not for feed"
"04522","Farmed sea urchins, live, fresh or chilled","not for feed"
"04530","Jellyfish, live, fresh or chilled","not for feed"
"04590","Other aquatic invertebrates, live, fresh or chilled, n.e.c.","not for feed"
"0491","Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone","not for feed"
"0492","Natural sponges of aquatic animal origin","not for feed"
"0493","Seaweeds and other algae, fresh, frozen or dried, whether or not ground","not for feed"
"04910","Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone","not for feed"
"04911","Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone","not for feed"
"04912","Wild live aquatic plants and animals for ornamental purpose","not for feed"
"04913","Farmed live aquatic plants and animals for ornamental purpose","not for feed"
"04920","Natural sponges of aquatic animal origin","not for feed"
"04930","Seaweeds and other algae, fresh, frozen or dried, whether or not ground","not for feed"
"04931","Wild seaweeds and other algae, fresh, frozen or dried, whether or not ground, fit for human consumption","not for feed"
